"Human Development Index (HDI)"
"HDI Rank","Country","1980","1985","1990","1995","2000","2005","2010","2011","2012","2013","2014"
"171"," Afghanistan","0.228","0.273","0.297","0.321","0.334","0.399","0.448","0.456","0.463","0.464","0.465"
"85"," Albania","0.625","0.623","0.624","0.619","0.656","0.695","0.722","0.728","0.729","0.732","0.733"
"83"," Algeria","","","0.574","0.596","0.640","0.687","0.725","0.730","0.732","0.734","0.736"
"34"," Andorra","","","","","","","0.823","0.821","0.844","0.844","0.845"
"149"," Angola","","","","","0.390","0.449","0.509","0.521","0.524","0.530","0.532"
"58"," Antigua and Barbuda","","","","","","","0.782","0.778","0.781","0.781","0.783"
"40"," Argentina","0.675","0.694","0.705","0.731","0.762","0.775","0.811","0.818","0.831","0.833","0.836"
"85"," Armenia","","","0.632","0.605","0.648","0.695","0.721","0.723","0.728","0.731","0.733"
"2"," Australia","","","0.865","0.882","0.898","0.912","0.927","0.930","0.932","0.933","0.935"
"23"," Austria","0.747","0.764","0.794","0.815","0.836","0.853","0.879","0.881","0.884","0.884","0.885"
"78"," Azerbaijan","","","","0.609","0.640","0.688","0.741","0.742","0.745","0.749","0.751"
"55"," Bahamas","","","","","0.778","0.780","0.774","0.778","0.783","0.786","0.790"
"45"," Bahrain","0.679","0.727","0.746","0.775","0.794","0.816","0.819","0.817","0.819","0.821","0.824"
"142"," Bangladesh","0.338","0.356","0.386","0.424","0.468","0.505","0.546","0.559","0.563","0.567","0.570"
"57"," Barbados","0.670","0.700","0.716","0.731","0.753","0.765","0.780","0.786","0.793","0.785","0.785"
"50"," Belarus","","","","","0.683","0.723","0.786","0.793","0.796","0.796","0.798"
"21"," Belgium","0.755","0.774","0.806","0.851","0.874","0.866","0.883","0.886","0.889","0.888","0.890"
"101"," Belize","","","0.644","0.664","0.683","0.701","0.710","0.711","0.716","0.715","0.715"
"166"," Benin","0.286","0.327","0.344","0.368","0.392","0.433","0.468","0.473","0.475","0.477","0.480"
"132"," Bhutan","","","","","","","0.573","0.582","0.589","0.595","0.605"
"119"," Bolivia (Plurinational State of)","","","0.536","0.572","0.603","0.616","0.641","0.647","0.654","0.658","0.662"
